transaction_id,order_date,region,product_category,sales_channel,customer_segment,units_sold,unit_price,discount_rate,gross_revenue,discount_amount,net_revenue,month,seasonality_multiplier
55,2024-12-30,South,Technology,Online,Small Business,7,183.09,0.0,1281.63,0.0,1602.04,12,1.25
56,2023-06-11,West,Furniture,Direct Sales,Mid Market,11,141.41,0.15,1555.51,233.33,1454.4,6,1.1
57,2023-07-21,Midwest,Software,Partner,Small Business,4,303.11,0.05,1212.44,60.62,1267.0,7,1.1
58,2025-09-22,South,Software,Online,Consumer,4,235.41,0.0,941.64,0.0,941.64,9,1.0
59,2023-09-27,South,Furniture,Direct Sales,Enterprise,2,234.4,0.1,468.8,46.88,421.92,9,1.0
60,2025-03-26,Midwest,Technology,Partner,Mid Market,2,238.19,0.05,476.38,23.82,452.56,3,1.0
61,2024-03-31,West,Office Supplies,Partner,Small Business,7,250.0,0.2,1750.0,350.0,1400.0,3,1.0
62,2025-10-13,South,Services,Partner,Small Business,11,208.14,0.05,2289.54,114.48,2718.83,10,1.25
63,2023-10-23,Midwest,Technology,Partner,Enterprise,5,186.12,0.05,930.6,46.53,1105.09,10,1.25
64,2024-12-20,South,Software,Online,Mid Market,5,190.87,0.0,954.35,0.0,1192.94,12,1.25
65,2023-12-04,Northeast,Office Supplies,Retail,Small Business,2,109.07,0.0,218.14,0.0,272.67,12,1.25
66,2025-05-28,South,Software,Partner,Consumer,7,61.74,0.1,432.18,43.22,388.96,5,1.0
67,2025-12-12,Midwest,Office Supplies,Online,Mid Market,2,224.01,0.0,448.02,0.0,560.02,12,1.25
68,2025-03-02,West,Furniture,Online,Mid Market,5,285.1,0.1,1425.5,142.55,1282.95,3,1.0
69,2023-08-05,Northeast,Software,Online,Consumer,5,164.2,0.1,821.0,82.1,812.79,8,1.1
70,2025-02-02,South,Services,Online,Enterprise,3,261.33,0.15,783.99,117.6,666.39,2,1.0
71,2023-07-07,Midwest,Furniture,Online,Mid Market,2,269.44,0.0,538.88,0.0,592.77,7,1.1
72,2024-01-15,West,Office Supplies,Retail,Consumer,3,156.62,0.0,469.86,0.0,469.86,1,1.0
73,2024-05-07,West,Technology,Online,Consumer,11,251.51,0.0,2766.61,0.0,2766.61,5,1.0
74,2025-11-30,West,Technology,Online,Consumer,5,219.8,0.0,1099.0,0.0,1373.75,11,1.25
75,2023-01-15,Midwest,Software,Direct Sales,Small Business,6,167.13,0.15,1002.78,150.42,852.36,1,1.0
76,2023-03-06,Northeast,Technology,Partner,Mid Market,4,214.25,0.1,857.0,85.7,771.3,3,1.0
77,2024-06-04,South,Software,Online,Small Business,7,200.73,0.05,1405.11,70.26,1468.34,6,1.1
78,2024-10-09,South,Furniture,Online,Enterprise,2,77.03,0.0,154.06,0.0,192.58,10,1.25
79,2025-12-22,Northeast,Services,Partner,Small Business,6,321.89,0.1,1931.34,193.13,2172.76,12,1.25
80,2024-08-15,South,Technology,Partner,Mid Market,9,125.92,0.1,1133.28,113.33,1121.95,8,1.1
81,2024-01-27,Northeast,Technology,Online,Small Business,10,195.78,0.0,1957.8,0.0,1957.8,1,1.0
82,2024-02-23,Midwest,Technology,Direct Sales,Mid Market,5,285.89,0.1,1429.45,142.94,1286.5,2,1.0
83,2023-10-16,Midwest,Software,Partner,Enterprise,4,170.03,0.0,680.12,0.0,850.15,10,1.25
84,2024-01-14,South,Furniture,Direct Sales,Small Business,9,144.19,0.0,1297.71,0.0,1297.71,1,1.0
85,2023-08-19,South,Technology,Online,Enterprise,6,192.14,0.0,1152.84,0.0,1268.12,8,1.1
86,2025-10-14,Midwest,Services,Online,Mid Market,4,165.98,0.1,663.92,66.39,746.91,10,1.25
87,2023-02-10,Northeast,Services,Online,Small Business,1,252.31,0.0,252.31,0.0,252.31,2,1.0
88,2025-11-17,Northeast,Software,Online,Consumer,9,139.01,0.05,1251.09,62.55,1485.67,11,1.25
89,2023-05-15,South,Technology,Online,Mid Market,10,153.53,0.0,1535.3,0.0,1535.3,5,1.0
90,2023-07-20,South,Furniture,Online,Small Business,3,180.13,0.0,540.39,0.0,594.43,7,1.1
91,2025-02-18,South,Software,Partner,Consumer,6,114.13,0.0,684.78,0.0,684.78,2,1.0
92,2025-07-18,Northeast,Office Supplies,Online,Mid Market,1,154.67,0.1,154.67,15.47,153.12,7,1.1
93,2025-11-22,South,Technology,Online,Mid Market,6,155.14,0.05,930.84,46.54,1105.37,11,1.25
94,2025-12-07,South,Technology,Direct Sales,Enterprise,3,115.28,0.15,345.84,51.88,367.46,12,1.25
95,2024-05-17,South,Services,Online,Mid Market,3,150.88,0.05,452.64,22.63,430.01,5,1.0
96,2024-02-11,West,Technology,Retail,Mid Market,11,225.68,0.0,2482.48,0.0,2482.48,2,1.0
97,2025-03-15,Northeast,Software,Retail,Small Business,7,74.94,0.0,524.58,0.0,524.58,3,1.0
98,2023-04-09,West,Office Supplies,Direct Sales,Mid Market,11,240.8,0.0,2648.8,0.0,2648.8,4,1.0
99,2024-11-14,South,Software,Direct Sales,Small Business,9,156.16,0.15,1405.44,210.82,1493.28,11,1.25
100,2024-12-26,West,Software,Retail,Mid Market,6,202.99,0.0,1217.94,0.0,1522.43,12,1.25
101,2025-08-18,West,Furniture,Direct Sales,Enterprise,1,240.13,0.0,240.13,0.0,264.14,8,1.1
102,2024-09-04,South,Furniture,Retail,Mid Market,9,133.33,0.05,1199.97,60.0,1139.97,9,1.0
103,2024-10-04,South,Software,Partner,Enterprise,5,209.75,0.0,1048.75,0.0,1310.94,10,1.25
104,2025-10-25,Midwest,Furniture,Online,Small Business,2,112.99,0.0,225.98,0.0,282.47,10,1.25
105,2024-05-17,South,Software,Retail,Small Business,3,108.13,0.0,324.39,0.0,324.39,5,1.0
106,2025-02-05,South,Software,Retail,Small Business,11,171.48,0.0,1886.28,0.0,1886.28,2,1.0
107,2024-02-02,West,Office Supplies,Retail,Consumer,5,176.19,0.0,880.95,0.0,880.95,2,1.0
108,2025-05-20,Midwest,Furniture,Partner,Enterprise,2,238.05,0.05,476.1,23.81,452.3,5,1.0
109,2025-03-05,West,Technology,Online,Consumer,3,103.87,0.0,311.61,0.0,311.61,3,1.0
110,2024-01-28,Midwest,Software,Online,Small Business,8,217.47,0.05,1739.76,86.99,1652.77,1,1.0
111,2023-07-26,West,Technology,Partner,Mid Market,6,162.06,0.05,972.36,48.62,1016.12,7,1.1
112,2025-11-04,Midwest,Services,Online,Mid Market,2,177.21,0.1,354.42,35.44,398.72,11,1.25
113,2025-06-10,South,Services,Online,Mid Market,2,66.99,0.1,133.98,13.4,132.64,6,1.1
114,2025-05-13,Northeast,Technology,Partner,Enterprise,1,172.23,0.0,172.23,0.0,172.23,5,1.0
115,2025-01-12,South,Technology,Direct Sales,Mid Market,7,225.44,0.15,1578.08,236.71,1341.37,1,1.0
116,2024-07-17,West,Furniture,Online,Enterprise,6,167.31,0.1,1003.86,100.39,993.82,7,1.1
117,2025-10-17,Midwest,Services,Retail,Enterprise,6,163.89,0.05,983.34,49.17,1167.72,10,1.25
118,2023-04-06,West,Furniture,Online,Small Business,5,285.75,0.05,1428.75,71.44,1357.31,4,1.0
119,2024-04-29,Northeast,Furniture,Online,Consumer,3,181.15,0.1,543.45,54.35,489.1,4,1.0
120,2023-08-19,West,Software,Online,Mid Market,8,85.76,0.05,686.08,34.3,716.95,8,1.1
121,2025-01-18,Northeast,Technology,Retail,Enterprise,3,97.19,0.05,291.57,14.58,276.99,1,1.0
122,2024-06-24,Northeast,Furniture,Partner,Enterprise,5,264.74,0.05,1323.7,66.18,1383.27,6,1.1
123,2025-11-25,Northeast,Furniture,Online,Mid Market,8,156.05,0.0,1248.4,0.0,1560.5,11,1.25
124,2024-06-08,Northeast,Office Supplies,Partner,Small Business,3,228.2,0.05,684.6,34.23,715.41,6,1.1
125,2024-07-31,Northeast,Technology,Retail,Enterprise,5,162.95,0.0,814.75,0.0,896.22,7,1.1
126,2024-11-12,Midwest,Office Supplies,Online,Small Business,11,205.72,0.0,2262.92,0.0,2828.65,11,1.25
127,2024-07-10,West,Services,Retail,Consumer,6,159.0,0.1,954.0,95.4,944.46,7,1.1
128,2025-10-09,South,Office Supplies,Online,Small Business,1,176.03,0.0,176.03,0.0,220.04,10,1.25
129,2024-10-07,Midwest,Software,Online,Small Business,2,209.0,0.05,418.0,20.9,496.38,10,1.25
130,2025-03-06,Northeast,Technology,Partner,Consumer,7,114.86,0.0,804.02,0.0,804.02,3,1.0
131,2025-11-17,Midwest,Furniture,Partner,Small Business,9,199.87,0.0,1798.83,0.0,2248.54,11,1.25
132,2023-07-09,Northeast,Technology,Partner,Small Business,10,194.46,0.0,1944.6,0.0,2139.06,7,1.1
133,2024-09-24,Northeast,Office Supplies,Online,Enterprise,4,99.17,0.1,396.68,39.67,357.01,9,1.0
134,2024-09-19,South,Furniture,Online,Small Business,5,331.59,0.1,1657.95,165.8,1492.15,9,1.0
135,2025-08-30,South,Furniture,Partner,Small Business,4,164.29,0.15,657.16,98.57,614.44,8,1.1
136,2024-12-10,West,Technology,Online,Small Business,11,126.28,0.1,1389.08,138.91,1562.72,12,1.25
137,2024-10-10,South,Furniture,Partner,Consumer,3,265.86,0.2,797.58,159.52,797.58,10,1.25
138,2023-11-14,West,Office Supplies,Partner,Small Business,10,115.56,0.05,1155.6,57.78,1372.28,11,1.25
139,2024-11-14,Northeast,Office Supplies,Partner,Enterprise,2,150.63,0.0,301.26,0.0,376.58,11,1.25
140,2024-10-25,Midwest,Technology,Online,Mid Market,3,192.72,0.1,578.16,57.82,650.43,10,1.25
141,2024-03-17,West,Office Supplies,Direct Sales,Small Business,2,151.94,0.15,303.88,45.58,258.3,3,1.0
142,2024-07-17,South,Office Supplies,Partner,Small Business,8,213.8,0.05,1710.4,85.52,1787.37,7,1.1
143,2025-08-09,South,Office Supplies,Retail,Consumer,1,214.79,0.0,214.79,0.0,236.27,8,1.1
144,2024-11-29,West,Software,Partner,Mid Market,5,141.81,0.0,709.05,0.0,886.31,11,1.25
145,2023-04-23,West,Furniture,Online,Small Business,1,265.68,0.05,265.68,13.28,252.4,4,1.0
146,2023-01-02,South,Technology,Online,Small Business,5,167.89,0.05,839.45,41.97,797.48,1,1.0
147,2024-10-03,West,Office Supplies,Direct Sales,Mid Market,3,195.96,0.0,587.88,0.0,734.85,10,1.25
148,2023-08-08,South,Services,Online,Mid Market,9,163.5,0.15,1471.5,220.72,1375.85,8,1.1
149,2025-05-04,Northeast,Office Supplies,Online,Small Business,1,160.47,0.05,160.47,8.02,152.45,5,1.0
150,2024-01-20,South,Software,Online,Small Business,10,181.03,0.05,1810.3,90.52,1719.78,1,1.0
151,2025-12-12,South,Software,Online,Enterprise,1,286.54,0.05,286.54,14.33,340.27,12,1.25
152,2024-12-30,South,Office Supplies,Retail,Mid Market,8,208.04,0.0,1664.32,0.0,2080.4,12,1.25
153,2023-09-04,West,Office Supplies,Direct Sales,Small Business,3,127.03,0.15,381.09,57.16,323.93,9,1.0
154,2025-04-15,Midwest,Furniture,Online,Small Business,11,189.34,0.0,2082.74,0.0,2082.74,4,1.0
155,2023-07-22,Midwest,Office Supplies,Partner,Mid Market,7,154.08,0.1,1078.56,107.86,1067.77,7,1.1
156,2023-05-03,West,Office Supplies,Partner,Small Business,10,238.39,0.0,2383.9,0.0,2383.9,5,1.0
157,2024-02-05,Midwest,Software,Retail,Small Business,5,178.83,0.0,894.15,0.0,894.15,2,1.0
158,2025-02-05,West,Furniture,Online,Enterprise,2,106.77,0.0,213.54,0.0,213.54,2,1.0
159,2023-10-21,Midwest,Technology,Retail,Mid Market,11,207.37,0.0,2281.07,0.0,2851.34,10,1.25
160,2023-10-07,South,Software,Direct Sales,Mid Market,7,139.35,0.1,975.45,97.54,1097.38,10,1.25
161,2025-06-02,West,Software,Online,Mid Market,7,207.18,0.1,1450.26,145.03,1435.76,6,1.1
162,2023-07-17,Midwest,Services,Retail,Enterprise,3,237.61,0.1,712.83,71.28,705.7,7,1.1
163,2025-09-08,Northeast,Furniture,Direct Sales,Small Business,6,169.28,0.1,1015.68,101.57,914.11,9,1.0
164,2025-01-21,Midwest,Technology,Partner,Small Business,5,176.11,0.1,880.55,88.06,792.5,1,1.0
165,2023-05-24,South,Technology,Partner,Small Business,1,194.38,0.05,194.38,9.72,184.66,5,1.0
166,2024-08-31,South,Software,Direct Sales,Consumer,1,148.56,0.15,148.56,22.28,138.9,8,1.1
167,2023-07-06,Northeast,Technology,Online,Mid Market,2,189.94,0.0,379.88,0.0,417.87,7,1.1
168,2024-04-08,South,Services,Partner,Small Business,7,196.47,0.0,1375.29,0.0,1375.29,4,1.0
169,2024-10-21,South,Furniture,Online,Small Business,3,136.23,0.0,408.69,0.0,510.86,10,1.25
170,2025-02-02,South,Services,Online,Enterprise,9,250.89,0.0,2258.01,0.0,2258.01,2,1.0
171,2025-08-12,West,Software,Retail,Small Business,3,90.34,0.0,271.02,0.0,298.12,8,1.1
172,2024-02-07,South,Services,Online,Enterprise,10,229.41,0.0,2294.1,0.0,2294.1,2,1.0
173,2023-05-27,West,Technology,Online,Consumer,4,260.87,0.1,1043.48,104.35,939.13,5,1.0
174,2025-05-13,West,Office Supplies,Online,Small Business,11,228.39,0.05,2512.29,125.61,2386.68,5,1.0
175,2024-05-03,Northeast,Technology,Online,Small Business,8,126.83,0.05,1014.64,50.73,963.91,5,1.0
176,2025-07-17,South,Technology,Online,Small Business,4,232.58,0.15,930.32,139.55,869.85,7,1.1
177,2024-07-04,South,Furniture,Partner,Small Business,7,300.74,0.15,2105.18,315.78,1968.34,7,1.1
178,2023-12-04,Midwest,Software,Online,Mid Market,11,175.1,0.05,1926.1,96.3,2287.24,12,1.25
179,2025-05-21,Midwest,Technology,Retail,Small Business,5,184.97,0.0,924.85,0.0,924.85,5,1.0
180,2024-10-02,West,Services,Partner,Mid Market,6,227.41,0.05,1364.46,68.22,1620.3,10,1.25
181,2024-04-17,Northeast,Technology,Online,Mid Market,8,137.01,0.05,1096.08,54.8,1041.28,4,1.0
182,2023-05-31,South,Furniture,Direct Sales,Consumer,4,100.63,0.0,402.52,0.0,402.52,5,1.0
183,2023-09-20,Northeast,Technology,Direct Sales,Mid Market,6,208.17,0.0,1249.02,0.0,1249.02,9,1.0
184,2023-05-24,West,Software,Online,Small Business,10,187.01,0.0,1870.1,0.0,1870.1,5,1.0
185,2023-12-12,South,Technology,Direct Sales,Small Business,2,128.0,0.1,256.0,25.6,288.0,12,1.25
186,2024-09-15,Northeast,Services,Partner,Enterprise,9,206.19,0.0,1855.71,0.0,1855.71,9,1.0
187,2025-10-13,Midwest,Office Supplies,Online,Small Business,9,165.82,0.05,1492.38,74.62,1772.2,10,1.25
188,2025-05-30,South,Services,Partner,Small Business,10,205.66,0.1,2056.6,205.66,1850.94,5,1.0
189,2023-01-02,South,Furniture,Partner,Consumer,10,195.38,0.15,1953.8,293.07,1660.73,1,1.0
190,2025-06-15,South,Furniture,Retail,Small Business,6,192.39,0.05,1154.34,57.72,1206.29,6,1.1
191,2023-09-11,Midwest,Software,Partner,Small Business,6,184.21,0.05,1105.26,55.26,1050.0,9,1.0
192,2024-03-28,South,Software,Online,Enterprise,10,88.56,0.0,885.6,0.0,885.6,3,1.0
193,2025-11-26,South,Furniture,Direct Sales,Small Business,7,102.33,0.05,716.31,35.82,850.62,11,1.25
194,2025-10-11,South,Services,Direct Sales,Small Business,4,283.85,0.05,1135.4,56.77,1348.29,10,1.25
195,2023-01-09,Midwest,Technology,Partner,Small Business,7,261.14,0.0,1827.98,0.0,1827.98,1,1.0
196,2025-03-26,Northeast,Software,Online,Enterprise,10,169.75,0.0,1697.5,0.0,1697.5,3,1.0
197,2023-07-27,Midwest,Furniture,Retail,Consumer,1,208.59,0.1,208.59,20.86,206.5,7,1.1
198,2024-02-08,South,Technology,Partner,Mid Market,7,93.13,0.0,651.91,0.0,651.91,2,1.0
199,2023-06-01,Northeast,Furniture,Direct Sales,Small Business,1,103.22,0.15,103.22,15.48,96.51,6,1.1
200,2023-02-23,Midwest,Services,Direct Sales,Small Business,11,25.0,0.0,275.0,0.0,275.0,2,1.0
201,2024-09-19,Northeast,Services,Direct Sales,Mid Market,8,125.64,0.0,1005.12,0.0,1005.12,9,1.0
202,2024-08-09,West,Furniture,Online,Enterprise,10,149.24,0.05,1492.4,74.62,1559.56,8,1.1
203,2023-04-14,West,Services,Direct Sales,Enterprise,6,223.89,0.0,1343.34,0.0,1343.34,4,1.0
204,2023-09-11,Midwest,Office Supplies,Online,Mid Market,1,172.18,0.05,172.18,8.61,163.57,9,1.0
205,2024-05-24,South,Software,Online,Consumer,11,199.62,0.05,2195.82,109.79,2086.03,5,1.0
206,2023-04-09,West,Technology,Online,Small Business,1,164.65,0.15,164.65,24.7,139.95,4,1.0
207,2023-06-02,Northeast,Office Supplies,Direct Sales,Small Business,4,177.58,0.15,710.32,106.55,664.15,6,1.1
208,2025-07-02,Northeast,Technology,Direct Sales,Consumer,7,164.92,0.1,1154.44,115.44,1142.9,7,1.1
209,2025-05-27,Northeast,Technology,Online,Small Business,5,199.25,0.0,996.25,0.0,996.25,5,1.0
210,2023-12-04,Midwest,Office Supplies,Online,Small Business,5,34.42,0.0,172.1,0.0,215.13,12,1.25
211,2025-04-01,South,Software,Direct Sales,Mid Market,8,184.77,0.0,1478.16,0.0,1478.16,4,1.0
212,2025-08-14,South,Office Supplies,Retail,Mid Market,2,176.44,0.1,352.88,35.29,349.35,8,1.1
213,2023-06-10,West,Services,Retail,Small Business,4,276.68,0.05,1106.72,55.34,1156.52,6,1.1
214,2025-03-11,West,Software,Retail,Consumer,4,197.5,0.0,790.0,0.0,790.0,3,1.0
215,2024-02-02,South,Technology,Partner,Small Business,11,272.44,0.05,2996.84,149.84,2847.0,2,1.0
216,2025-03-26,South,Furniture,Direct Sales,Mid Market,8,141.72,0.2,1133.76,226.75,907.01,3,1.0
217,2024-02-05,West,Software,Online,Small Business,6,143.52,0.1,861.12,86.11,775.01,2,1.0
218,2024-10-01,Midwest,Services,Online,Enterprise,10,277.32,0.15,2773.2,415.98,2946.52,10,1.25
219,2025-11-22,Northeast,Services,Online,Small Business,9,171.95,0.1,1547.55,154.76,1740.99,11,1.25
220,2024-11-18,Midwest,Software,Online,Enterprise,10,140.56,0.1,1405.6,140.56,1581.3,11,1.25
221,2024-04-04,Midwest,Office Supplies,Retail,Small Business,9,186.17,0.1,1675.53,167.55,1507.98,4,1.0
222,2025-08-12,Midwest,Software,Direct Sales,Mid Market,4,195.48,0.05,781.92,39.1,817.11,8,1.1
223,2024-04-14,Northeast,Technology,Partner,Enterprise,10,252.87,0.05,2528.7,126.44,2402.26,4,1.0
224,2025-11-11,Midwest,Furniture,Direct Sales,Small Business,7,140.85,0.1,985.95,98.6,1109.19,11,1.25
225,2025-01-19,Northeast,Office Supplies,Direct Sales,Small Business,3,225.76,0.0,677.28,0.0,677.28,1,1.0
226,2023-02-07,Northeast,Services,Retail,Enterprise,6,281.37,0.05,1688.22,84.41,1603.81,2,1.0
227,2023-08-18,Northeast,Services,Retail,Small Business,1,246.47,0.15,246.47,36.97,230.45,8,1.1
228,2024-07-16,West,Furniture,Retail,Consumer,5,284.46,0.1,1422.3,142.23,1408.08,7,1.1
229,2024-03-13,South,Software,Online,Small Business,6,185.67,0.15,1114.02,167.1,946.92,3,1.0
230,2023-01-27,South,Services,Retail,Enterprise,5,218.23,0.2,1091.15,218.23,872.92,1,1.0
231,2023-08-14,South,Office Supplies,Retail,Enterprise,7,142.44,0.05,997.08,49.85,1041.95,8,1.1
232,2025-03-08,South,Furniture,Retail,Mid Market,4,320.43,0.0,1281.72,0.0,1281.72,3,1.0
233,2023-10-11,South,Office Supplies,Retail,Small Business,5,234.35,0.1,1171.75,117.18,1318.22,10,1.25
234,2025-05-28,West,Office Supplies,Online,Small Business,4,197.65,0.0,790.6,0.0,790.6,5,1.0
235,2025-08-17,West,Office Supplies,Retail,Consumer,9,182.0,0.0,1638.0,0.0,1801.8,8,1.1
236,2024-03-28,Midwest,Office Supplies,Online,Enterprise,2,67.72,0.0,135.44,0.0,135.44,3,1.0
237,2025-10-16,South,Software,Online,Mid Market,1,65.63,0.0,65.63,0.0,82.04,10,1.25
238,2025-03-26,Midwest,Technology,Partner,Small Business,4,124.87,0.05,499.48,24.97,474.51,3,1.0
239,2024-10-20,Midwest,Furniture,Online,Small Business,6,155.21,0.1,931.26,93.13,1047.67,10,1.25
240,2024-06-30,West,Office Supplies,Direct Sales,Enterprise,10,220.68,0.1,2206.8,220.68,2184.73,6,1.1
241,2025-12-08,Northeast,Furniture,Online,Consumer,8,229.46,0.0,1835.68,0.0,2294.6,12,1.25
242,2023-01-17,South,Services,Retail,Small Business,4,184.99,0.1,739.96,74.0,665.96,1,1.0
243,2023-06-07,South,Technology,Retail,Enterprise,1,202.78,0.1,202.78,20.28,200.75,6,1.1
244,2024-04-21,West,Office Supplies,Online,Small Business,9,175.11,0.0,1575.99,0.0,1575.99,4,1.0
245,2025-12-05,South,Services,Retail,Enterprise,3,245.29,0.05,735.87,36.79,873.85,12,1.25
246,2024-06-01,West,Technology,Partner,Mid Market,6,144.84,0.05,869.04,43.45,908.15,6,1.1
247,2023-04-09,West,Software,Online,Enterprise,10,167.72,0.0,1677.2,0.0,1677.2,4,1.0
248,2025-11-26,South,Office Supplies,Online,Consumer,8,195.51,0.15,1564.08,234.61,1661.83,11,1.25
249,2023-10-07,South,Technology,Retail,Mid Market,11,142.53,0.05,1567.83,78.39,1861.8,10,1.25
250,2024-05-11,West,Services,Online,Consumer,5,102.97,0.0,514.85,0.0,514.85,5,1.0
